model_number,filter_kit,filter_type,official_source_url
CU500,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
CU520,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV350_26,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV350A_26,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV350E,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV350Q,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV350T,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV350W,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV350W_N,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV350WC,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV351,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV351C,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV352,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV352C,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV352E,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV352Q,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV356E,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV356K,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV360,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV360K,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV361BK,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV370,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV380,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV380C,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV391,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV391C,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
UV440,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
UV540,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
UV550,XFF350 + XHF350,foam and felt; pre-motor,https://www.sharkclean.com/products/foam-felt-filter-kit-zidXFF350?modelNumber=NV356E
NV500,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV500C,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV500Q,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV500W,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV500WC,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV500WTV,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV501,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV501NP,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV502,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV505,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV552,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
NV642,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
UV560,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
ZU780,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
ZU782,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
ZU785,XFF500 + XHF500,pre-motor; post-motor,https://www.sharkclean.com/products/pre-motor-filter-kit-zidXFF500?modelNumber=ZU785
